,Asiento,Grupo,Sexo,Tarea1,Tarea2,Tarea3,Tarea4,Tarea5,Tarea6,Asistencia,Conducta,Participacion,Proyecto1,Proyecto2,Examen,Autoevaluacion
19,19,A,F,2,7,6,8,5.4,4.7,6,4.199999999999999,5.279999999999999,5.08,5.6659999999999995,5.2638,4.9932
20,20,A,F,4,7,8,9,7.0,5.3,8,5.8,7.119999999999999,7.000000000000001,7.113999999999999,6.994199999999999,6.698799999999999
21,21,A,F,8,9,7,9,6.200000000000001,7.1,6,5.3999999999999995,5.76,6.640000000000001,6.542,6.2346,5.9844
22,22,A,F,0,8,6,9,5.4,4.4,8,5.0,6.8,5.48,6.9,6.314,6.016
23,23,A,F,4,9,6,8,5.4,5.8999999999999995,9,6.3999999999999995,7.959999999999999,6.68,7.861999999999999,7.4426,7.216399999999999
24,24,A,M,5,7,7,9,6.200000000000001,5.6,8,6.0,7.2,6.840000000000001,7.2,7.0120000000000005,6.768000000000001
25,25,A,F,8,7,9,9,7.800000000000001,6.5,5,4.8,4.92,6.960000000000001,5.694,5.7562,5.4468
26,26,A,F,1,9,9,8,7.800000000000001,5.0,6,4.0,5.199999999999999,5.960000000000001,5.84,5.54,5.12
27,27,A,F,8,7,8,9,7.0,6.5,9,7.2,8.28,8.200000000000001,8.046,8.113800000000001,7.8932
28,28,A,M,4,6,6,8,5.4,5.0,9,6.3999999999999995,7.959999999999999,6.68,7.4719999999999995,7.3256,7.138399999999999
29,29,A,F,3,9,8,9,7.0,5.6,9,6.2,7.88,7.200000000000001,7.8759999999999994,7.5628,7.2392
30,30,A,M,9,9,8,8,7.0,7.3999999999999995,5,5.0,5.0,6.800000000000001,5.94,5.822,5.548
31,31,A,F,5,5,6,8,5.4,5.0,5,4.2,4.68,5.28,5.076,4.9468,4.7352
32,32,A,F,3,8,6,8,5.4,5.3,9,6.2,7.88,6.48,7.646,7.2778,7.049200000000001
33,33,A,F,4,9,6,8,5.4,5.8999999999999995,6,4.6,5.4399999999999995,5.48,6.097999999999999,5.5934,5.3275999999999994
34,34,A,F,3,8,7,9,6.200000000000001,5.3,5,3.8000000000000003,4.5200000000000005,5.24,5.394,4.950200000000001,4.622800000000001
35,35,A,M,5,9,6,9,5.4,6.199999999999999,7,5.4,6.36,6.08,6.872,6.365600000000001,6.118399999999999
36,36,A,M,7,9,9,9,7.800000000000001,6.8,6,5.2,5.68,7.160000000000001,6.4559999999999995,6.3248,5.9872000000000005
37,37,A,F,3,7,8,8,7.0,5.0,8,5.6000000000000005,7.04,6.800000000000001,6.928,6.8384,6.537600000000001
38,38,A,M,7,6,6,9,5.4,5.9,7,5.800000000000001,6.5200000000000005,6.48,6.654,6.5002,6.322800000000001
39,39,A,F,0,7,7,9,6.200000000000001,4.1,9,5.6,7.639999999999999,6.24,7.357999999999999,6.9994,6.691599999999999
40,40,A,M,5,6,8,8,7.0,5.3,9,6.6,8.04,7.6,7.558,7.6674,7.423599999999999
41,41,A,M,7,7,9,8,7.800000000000001,6.2,5,4.6000000000000005,4.84,6.760000000000001,5.508,5.6004,5.2856000000000005
42,42,A,F,5,7,9,8,7.800000000000001,5.6,7,5.4,6.36,7.16,6.5120000000000005,6.581600000000001,6.2624
43,43,A,M,1,9,9,8,7.800000000000001,5.0,8,5.2,6.88,6.760000000000001,7.016,6.7728,6.379200000000001
44,44,A,F,8,8,6,9,5.4,6.8,6,5.3999999999999995,5.76,6.280000000000001,6.412000000000001,6.087600000000001,5.8864
45,45,A,F,5,9,6,8,5.4,6.199999999999999,9,6.6,8.04,6.880000000000001,7.9479999999999995,7.5684,7.3576
46,46,A,F,7,6,7,8,6.200000000000001,5.9,8,6.4,7.36,7.240000000000001,7.142,7.194600000000001,7.0044
47,47,A,F,3,8,7,8,6.200000000000001,5.3,9,6.2,7.88,6.84,7.646,7.385800000000001,7.121200000000001
48,48,A,F,2,9,7,9,6.200000000000001,5.3,6,4.199999999999999,5.279999999999999,5.440000000000001,6.026,5.4798,5.1372
49,49,A,F,6,7,7,8,6.200000000000001,5.9,5,4.4,4.76,5.840000000000001,5.422,5.2586,5.000400000000001
50,50,A,F,0,9,9,9,7.800000000000001,4.699999999999999,9,5.6,7.639999999999999,6.960000000000001,7.6179999999999986,7.2934,6.8876
51,51,A,M,7,6,6,9,5.4,5.9,5,4.6000000000000005,4.84,5.680000000000001,5.478,5.2674,5.0636
52,52,A,F,5,7,9,9,7.800000000000001,5.6,5,4.2,4.68,6.36,5.436,5.3788,5.0232
53,53,A,M,5,8,9,8,7.800000000000001,5.9,5,4.2,4.68,6.36,5.466,5.3877999999999995,5.0292
54,54,A,M,0,5,9,9,7.800000000000001,3.5,8,5.0,6.8,6.5600000000000005,6.51,6.520999999999999,6.154
55,55,A,M,9,9,6,9,5.4,7.3999999999999995,6,5.6,5.84,6.48,6.628,6.2524,6.053599999999999
56,56,A,M,9,8,8,8,7.0,7.1,5,5.0,5.0,6.800000000000001,5.8100000000000005,5.783,5.522
57,57,A,M,0,8,7,9,6.200000000000001,4.4,8,5.0,6.8,5.840000000000001,6.9,6.422000000000001,6.088
58,58,A,M,9,9,9,8,7.800000000000001,7.3999999999999995,5,5.0,5.0,7.16,5.94,5.93,5.620000000000001
59,59,A,M,4,6,6,8,5.4,5.0,6,4.6,5.4399999999999995,5.48,5.707999999999999,5.4764,5.249599999999999
60,60,A,F,9,9,8,8,7.0,7.3999999999999995,9,7.3999999999999995,8.36,8.4,8.292,8.287600000000001,8.0664
61,61,A,F,0,7,6,8,5.4,4.1,8,5.0,6.8,5.48,6.67,6.244999999999999,5.970000000000001
62,62,A,M,6,9,8,8,7.0,6.5,8,6.2,7.28,7.4,7.446,7.293800000000001,7.013200000000001
63,63,A,F,4,7,6,8,5.4,5.3,7,5.2,6.28,5.880000000000001,6.426,6.1318,5.905200000000001
64,64,A,F,5,8,9,8,7.800000000000001,5.9,5,4.2,4.68,6.36,5.466,5.3877999999999995,5.0292
65,65,A,F,3,5,6,8,5.4,4.4,8,5.6000000000000005,7.04,6.08,6.668,6.5443999999999996,6.3416000000000015
66,66,A,M,8,5,9,8,7.800000000000001,5.9,6,5.3999999999999995,5.76,7.360000000000001,5.922000000000001,6.264600000000001,6.0044
67,67,A,M,2,5,9,8,7.800000000000001,4.1,6,4.199999999999999,5.279999999999999,6.160000000000001,5.405999999999999,5.5098,5.1572
68,68,A,M,8,9,8,8,7.0,7.1,8,6.6000000000000005,7.44,7.800000000000001,7.618,7.545400000000001,7.2956
69,69,A,M,8,6,8,8,7.0,6.199999999999999,7,6.000000000000001,6.6000000000000005,7.4,6.640000000000001,6.812,6.588000000000001
70,70,A,M,6,8,7,9,6.200000000000001,6.199999999999999,5,4.4,4.76,5.840000000000001,5.652,5.3276,5.0464
71,71,A,M,5,6,9,8,7.800000000000001,5.3,9,6.6,8.04,7.960000000000001,7.558,7.7754,7.4956
72,72,A,F,7,9,6,9,5.4,6.8,8,6.4,7.36,6.880000000000001,7.632,7.233600000000001,7.0304
73,73,A,F,6,7,8,9,7.0,5.9,6,5.0,5.6,6.6000000000000005,6.109999999999999,6.013,5.7219999999999995
74,74,A,M,2,5,7,9,6.200000000000001,4.1,5,3.6,4.44,5.040000000000001,4.918,4.7074,4.4036
75,75,A,F,3,9,7,8,6.200000000000001,5.6,8,5.6000000000000005,7.04,6.44,7.188000000000001,6.808400000000001,6.5176
76,76,A,M,8,7,6,8,5.4,6.5,8,6.6000000000000005,7.44,7.08,7.3580000000000005,7.2514,7.099600000000001
77,77,A,F,1,8,6,9,5.4,4.699999999999999,9,5.8,7.719999999999999,6.08,7.573999999999999,7.0562,6.7867999999999995
78,78,A,M,3,5,8,8,7.0,4.4,7,5.000000000000001,6.200000000000001,6.4,6.080000000000001,6.144000000000001,5.856000000000001
79,79,A,F,7,7,6,9,5.4,6.2,7,5.800000000000001,6.5200000000000005,6.48,6.784000000000001,6.539200000000001,6.348800000000001
80,80,A,M,3,6,9,9,7.800000000000001,4.699999999999999,9,6.2,7.88,7.5600000000000005,7.486,7.5538,7.233200000000001
81,81,A,F,2,5,7,9,6.200000000000001,4.1,7,4.800000000000001,6.120000000000001,5.840000000000001,6.094,5.940200000000001,5.662800000000001
82,82,A,F,3,6,6,8,5.4,4.699999999999999,7,5.000000000000001,6.200000000000001,5.680000000000001,6.210000000000001,5.9670000000000005,5.738
83,83,A,F,9,9,6,9,5.4,7.3999999999999995,9,7.3999999999999995,8.36,7.68,8.392,8.101600000000001,7.942399999999999
84,84,A,F,3,5,7,8,6.200000000000001,4.4,9,6.2,7.88,6.84,7.256,7.2688,7.043200000000001
85,85,A,F,3,5,8,9,7.0,4.4,7,5.000000000000001,6.200000000000001,6.4,6.180000000000001,6.174,5.876000000000001
86,86,A,M,5,7,7,9,6.200000000000001,5.6,8,6.0,7.2,6.840000000000001,7.2,7.0120000000000005,6.768000000000001
87,87,A,M,0,8,6,9,5.4,4.4,6,3.8,5.119999999999999,4.680000000000001,5.723999999999999,5.0812,4.7568
88,88,A,M,4,5,7,8,6.200000000000001,4.7,5,4.0,4.6,5.44,4.99,4.929,4.666
89,89,A,F,7,6,6,8,5.4,5.9,9,7.0,8.2,7.280000000000001,7.7299999999999995,7.703,7.562
90,90,A,M,1,6,6,9,5.4,4.1,6,4.0,5.199999999999999,4.880000000000001,5.549999999999999,5.129,4.846
91,91,A,F,7,8,9,8,7.800000000000001,6.5,5,4.6000000000000005,4.84,6.760000000000001,5.638,5.6394,5.3116
92,92,A,M,4,7,6,8,5.4,5.3,8,5.8,7.119999999999999,6.28,7.013999999999999,6.748199999999999,6.5348
93,93,A,F,5,6,9,8,7.800000000000001,5.3,7,5.4,6.36,7.16,6.382,6.5426,6.2364
94,94,A,F,8,6,7,9,6.200000000000001,6.199999999999999,5,4.8,4.92,6.24,5.564,5.5012,5.2768
95,95,A,M,1,9,7,9,6.200000000000001,5.0,6,4.0,5.199999999999999,5.24,5.9399999999999995,5.354,4.9959999999999996
96,96,A,F,8,5,8,9,7.0,5.9,9,7.2,8.28,8.200000000000001,7.786,8.0358,7.841200000000001
97,97,A,M,6,8,8,9,7.0,6.199999999999999,5,4.4,4.76,6.2,5.652,5.4356,5.1184
98,98,A,F,1,6,8,8,7.0,4.1,8,5.2,6.88,6.4,6.6259999999999994,6.5478000000000005,6.2292
99,99,A,F,2,7,8,9,7.0,4.7,5,3.6,4.44,5.4,5.178000000000001,4.8934,4.5276000000000005
100,100,A,M,1,9,6,8,5.4,5.0,9,5.8,7.719999999999999,6.08,7.603999999999999,7.0652,6.7928
101,101,A,M,6,6,8,8,7.0,5.6,6,5.0,5.6,6.6000000000000005,5.879999999999999,5.944,5.676
102,102,A,M,8,5,9,8,7.800000000000001,5.9,5,4.8,4.92,6.960000000000001,5.334,5.6482,5.3748
103,103,A,M,2,8,9,9,7.800000000000001,5.0,5,3.6,4.44,5.760000000000001,5.308,5.0404,4.6256
104,104,A,F,1,7,9,8,7.800000000000001,4.4,5,3.4000000000000004,4.36,5.5600000000000005,4.992,4.845600000000001,4.438400000000001
105,105,A,F,1,9,6,8,5.4,5.0,5,3.4000000000000004,4.36,4.48,5.252000000000001,4.599600000000001,4.2744
106,106,A,M,8,5,6,8,5.4,5.9,8,6.6000000000000005,7.44,7.08,7.098000000000001,7.173400000000001,7.0476
107,107,A,F,2,6,9,9,7.800000000000001,4.4,7,4.800000000000001,6.120000000000001,6.5600000000000005,6.224,6.195200000000001,5.832800000000001
108,108,A,F,6,7,9,8,7.800000000000001,5.9,9,6.8,8.12,8.16,7.773999999999999,7.9402,7.662799999999999
109,109,A,M,4,6,8,9,7.0,5.0,9,6.3999999999999995,7.959999999999999,7.4,7.571999999999999,7.5716,7.3024
110,110,A,F,9,7,6,9,5.4,6.8,6,5.6,5.84,6.48,6.368,6.1744,6.0016
111,111,A,F,1,7,9,8,7.800000000000001,4.4,8,5.2,6.88,6.760000000000001,6.756,6.694800000000001,6.327200000000001
112,112,A,F,7,9,7,8,6.200000000000001,6.8,9,7.0,8.2,7.640000000000001,8.12,7.928,7.712
113,113,A,M,4,9,9,9,7.800000000000001,5.8999999999999995,5,4.0,4.6,6.16,5.609999999999999,5.3309999999999995,4.934
114,114,A,M,7,9,7,8,6.200000000000001,6.8,6,5.2,5.68,6.440000000000001,6.356,6.0788,5.823200000000001
115,115,A,M,3,8,9,9,7.800000000000001,5.3,5,3.8000000000000003,4.5200000000000005,5.960000000000001,5.394,5.1662,4.766800000000001
116,116,A,F,0,8,7,9,6.200000000000001,4.4,9,5.6,7.639999999999999,6.24,7.4879999999999995,7.038399999999999,6.7176
117,117,A,M,8,7,8,9,7.0,6.5,6,5.3999999999999995,5.76,7.000000000000001,6.282,6.2646,6.0044
118,118,A,M,8,5,7,9,6.200000000000001,5.9,5,4.8,4.92,6.24,5.434,5.4622,5.2508
119,119,A,M,2,8,9,9,7.800000000000001,5.0,6,4.199999999999999,5.279999999999999,6.160000000000001,5.895999999999999,5.6568,5.255199999999999
120,120,A,F,3,8,6,8,5.4,5.3,7,5.000000000000001,6.200000000000001,5.680000000000001,6.470000000000001,6.045000000000001,5.790000000000001
121,121,A,F,9,8,9,8,7.800000000000001,7.1,6,5.6,5.84,7.5600000000000005,6.398,6.5074000000000005,6.2236
122,122,A,M,1,6,6,8,5.4,4.1,5,3.4000000000000004,4.36,4.48,4.862,4.4826,4.196400000000001
123,123,A,M,6,8,9,9,7.800000000000001,6.199999999999999,5,4.4,4.76,6.5600000000000005,5.652,5.5436,5.1904
124,124,A,F,9,8,9,8,7.800000000000001,7.1,6,5.6,5.84,7.5600000000000005,6.398,6.5074000000000005,6.2236
125,125,A,F,9,5,7,8,6.200000000000001,6.199999999999999,7,6.2,6.680000000000001,7.24,6.596,6.790800000000001,6.631200000000001
126,126,A,F,9,7,6,9,5.4,6.8,9,7.3999999999999995,8.36,7.68,8.132,8.0236,7.8904
127,127,A,M,7,6,8,9,7.0,5.9,7,5.800000000000001,6.5200000000000005,7.200000000000001,6.654,6.716200000000001,6.466800000000001
128,128,A,F,7,5,6,9,5.4,5.6,7,5.800000000000001,6.5200000000000005,6.48,6.524,6.4612,6.296800000000001
129,129,A,M,3,8,6,8,5.4,5.3,9,6.2,7.88,6.48,7.646,7.2778,7.049200000000001
130,130,A,F,6,8,6,8,5.4,6.199999999999999,6,5.0,5.6,5.880000000000001,6.14,5.806,5.584
131,131,A,M,0,7,7,9,6.200000000000001,4.1,9,5.6,7.639999999999999,6.24,7.357999999999999,6.9994,6.691599999999999
132,132,A,F,4,8,9,9,7.800000000000001,5.6,8,5.8,7.119999999999999,7.36,7.244,7.1411999999999995,6.7968
133,133,A,F,9,8,8,8,7.0,7.1,9,7.3999999999999995,8.36,8.4,8.161999999999999,8.2486,8.0404
134,134,A,F,5,5,9,9,7.800000000000001,5.0,5,4.2,4.68,6.36,5.176,5.3008,4.9712
135,135,A,F,0,8,9,8,7.800000000000001,4.4,7,4.4,5.960000000000001,6.16,6.212000000000001,5.9916,5.582400000000001
136,136,A,F,6,5,9,9,7.800000000000001,5.3,6,5.0,5.6,6.960000000000001,5.85,6.043,5.742
137,137,A,F,4,9,9,9,7.800000000000001,5.8999999999999995,8,5.8,7.119999999999999,7.36,7.373999999999999,7.180199999999999,6.8228
138,138,A,M,6,7,8,8,7.0,5.9,8,6.2,7.28,7.4,7.186,7.2158,6.961200000000001
139,139,A,F,8,7,6,8,5.4,6.5,8,6.6000000000000005,7.44,7.08,7.3580000000000005,7.2514,7.099600000000001
140,140,A,F,0,7,8,8,7.0,4.1,7,4.4,5.960000000000001,5.800000000000001,6.082000000000001,5.844600000000001,5.484400000000001
141,141,A,F,3,8,9,9,7.800000000000001,5.3,8,5.6000000000000005,7.04,7.160000000000001,7.158,7.015400000000001,6.655600000000001
142,142,A,M,3,8,7,8,6.200000000000001,5.3,6,4.3999999999999995,5.359999999999999,5.640000000000001,5.882,5.5366,5.2324
143,143,A,M,2,5,7,8,6.200000000000001,4.1,9,6.0,7.8,6.640000000000001,7.17,7.143,6.902
144,144,A,F,9,7,9,9,7.800000000000001,6.8,8,6.8,7.52,8.36,7.544,7.731199999999999,7.476799999999999
145,145,A,M,6,6,8,9,7.0,5.6,6,5.0,5.6,6.6000000000000005,5.9799999999999995,5.974,5.696
146,146,A,M,6,8,8,9,7.0,6.199999999999999,9,6.8,8.12,7.800000000000001,8.004,7.9012,7.636799999999999
147,147,A,M,5,9,9,8,7.800000000000001,6.199999999999999,6,4.8,5.52,6.760000000000001,6.183999999999999,6.0432,5.6848
148,148,A,F,9,7,9,8,7.800000000000001,6.8,5,5.0,5.0,7.16,5.68,5.852,5.5680000000000005
149,149,A,F,8,7,8,8,7.0,6.5,9,7.2,8.28,8.200000000000001,7.946,8.0838,7.873200000000001
150,150,A,M,5,8,6,9,5.4,5.9,5,4.2,4.68,5.28,5.566,5.0938,4.8332
151,151,A,F,9,6,6,9,5.4,6.5,6,5.6,5.84,6.48,6.2379999999999995,6.1354,5.9756
152,152,A,F,4,5,9,9,7.800000000000001,4.7,7,5.2,6.28,6.960000000000001,6.266,6.4078,6.0892
153,153,A,M,5,6,8,8,7.0,5.3,5,4.2,4.68,6.0,5.2059999999999995,5.2017999999999995,4.9052
154,154,A,F,0,6,7,8,6.200000000000001,3.8,7,4.4,5.960000000000001,5.440000000000001,5.952000000000001,5.697600000000001,5.386400000000001
155,155,A,F,7,5,6,8,5.4,5.6,8,6.4,7.36,6.880000000000001,7.0120000000000005,7.047600000000001,6.9064000000000005
156,156,A,F,6,6,9,9,7.800000000000001,5.6,8,6.2,7.28,7.760000000000001,7.156000000000001,7.3148,7.0272000000000014
157,157,A,F,9,9,9,9,7.800000000000001,7.3999999999999995,8,6.8,7.52,8.36,7.803999999999999,7.809200000000001,7.528799999999999
158,158,A,M,5,8,9,9,7.800000000000001,5.9,6,4.8,5.52,6.760000000000001,6.154,6.0342,5.678800000000001
159,159,A,M,1,7,7,9,6.200000000000001,4.4,7,4.6000000000000005,6.040000000000001,5.640000000000001,6.268000000000001,5.8924,5.573600000000001
160,160,A,M,0,7,7,9,6.200000000000001,4.1,9,5.6,7.639999999999999,6.24,7.357999999999999,6.9994,6.691599999999999
161,161,A,M,5,8,9,9,7.800000000000001,5.9,7,5.4,6.36,7.16,6.742,6.650600000000001,6.3084
162,162,A,M,8,9,6,8,5.4,7.1,7,6.000000000000001,6.6000000000000005,6.680000000000001,7.03,6.713,6.522
163,163,A,M,8,8,9,8,7.800000000000001,6.8,7,6.000000000000001,6.6000000000000005,7.760000000000002,6.9,6.998,6.712000000000001
164,164,A,M,0,8,6,9,5.4,4.4,5,3.2,4.28,4.28,5.136,4.4648,4.1272
165,165,A,M,0,6,9,9,7.800000000000001,3.8,9,5.6,7.639999999999999,6.960000000000001,7.227999999999999,7.176399999999999,6.8096
166,166,A,M,5,6,8,8,7.0,5.3,6,4.8,5.52,6.4,5.794,5.8182,5.534800000000001
167,167,A,F,9,5,7,8,6.200000000000001,6.199999999999999,6,5.6,5.84,6.840000000000001,6.008,6.1744,6.001600000000001
168,168,A,F,1,6,7,8,6.200000000000001,4.1,8,5.2,6.88,6.040000000000001,6.6259999999999994,6.4398,6.1572000000000005
169,169,A,F,2,6,8,8,7.0,4.4,9,6.0,7.8,7.0,7.300000000000001,7.29,7.0
170,170,A,F,3,8,6,9,5.4,5.3,5,3.8000000000000003,4.5200000000000005,4.880000000000001,5.394,4.8422,4.550800000000001
171,171,A,M,9,9,9,9,7.800000000000001,7.3999999999999995,8,6.8,7.52,8.36,7.803999999999999,7.809200000000001,7.528799999999999
172,172,A,M,2,7,8,9,7.0,4.7,8,5.4,6.96,6.6000000000000005,6.942,6.7425999999999995,6.4164
173,173,A,F,4,8,7,8,6.200000000000001,5.6,5,4.0,4.6,5.44,5.38,5.046,4.744
174,174,A,F,3,7,6,9,5.4,5.0,8,5.6000000000000005,7.04,6.08,7.0280000000000005,6.6524,6.413600000000001
175,175,A,F,8,5,6,8,5.4,5.9,8,6.6000000000000005,7.44,7.08,7.098000000000001,7.173400000000001,7.0476
176,176,A,M,1,7,9,8,7.800000000000001,4.4,7,4.6000000000000005,6.040000000000001,6.360000000000001,6.168000000000001,6.078400000000001,5.6976
177,177,A,F,0,6,6,8,5.4,3.8,7,4.4,5.960000000000001,5.08,5.952000000000001,5.589600000000001,5.314400000000001
178,178,A,M,9,5,8,9,7.0,6.199999999999999,8,6.8,7.52,8.0,7.283999999999999,7.5451999999999995,7.3527999999999984
179,179,A,M,4,6,6,8,5.4,5.0,5,4.0,4.6,5.08,5.12,4.86,4.62
180,180,A,F,0,6,8,8,7.0,3.8,9,5.6,7.639999999999999,6.6,7.127999999999999,7.038399999999999,6.7176
181,181,A,F,7,6,8,8,7.0,5.9,5,4.6000000000000005,4.84,6.4,5.378,5.4534,5.1876
182,182,A,M,2,6,6,9,5.4,4.4,8,5.4,6.96,5.880000000000001,6.811999999999999,6.4876000000000005,6.2464
183,183,A,M,8,9,8,8,7.0,7.1,6,5.3999999999999995,5.76,7.000000000000001,6.442,6.312600000000001,6.0364
184,184,A,F,3,6,6,8,5.4,4.699999999999999,6,4.3999999999999995,5.359999999999999,5.280000000000001,5.622,5.3506,5.1084
185,185,A,M,9,9,9,9,7.800000000000001,7.3999999999999995,5,5.0,5.0,7.16,6.04,5.96,5.640000000000001
186,186,A,M,2,6,9,8,7.800000000000001,4.4,6,4.199999999999999,5.279999999999999,6.160000000000001,5.536,5.5488,5.183199999999999
187,187,A,F,5,8,7,9,6.200000000000001,5.9,6,4.8,5.52,6.040000000000001,6.154,5.8182,5.534800000000001
188,188,A,F,6,6,8,8,7.0,5.6,6,5.0,5.6,6.6000000000000005,5.879999999999999,5.944,5.676
189,189,A,F,5,6,7,9,6.200000000000001,5.3,8,6.0,7.2,6.840000000000001,7.07,6.973000000000001,6.742000000000001
190,190,A,M,6,8,6,8,5.4,6.199999999999999,8,6.2,7.28,6.680000000000001,7.316000000000001,7.0388,6.843200000000001
191,191,A,F,4,6,9,8,7.800000000000001,5.0,7,5.2,6.28,6.960000000000001,6.296,6.4168,6.0952
192,192,A,M,6,6,7,9,6.200000000000001,5.6,6,5.0,5.6,6.240000000000001,5.9799999999999995,5.8660000000000005,5.624
193,193,A,M,8,7,8,9,7.0,6.5,7,6.000000000000001,6.6000000000000005,7.4,6.87,6.881000000000001,6.634
194,194,A,M,1,8,7,8,6.200000000000001,4.699999999999999,5,3.4000000000000004,4.36,4.84,5.122,4.6686,4.3204
195,195,A,F,3,5,9,9,7.800000000000001,4.4,5,3.8000000000000003,4.5200000000000005,5.960000000000001,5.004,5.0492,4.6888000000000005
196,196,A,M,7,7,7,9,6.200000000000001,6.2,9,7.0,8.2,7.640000000000001,7.959999999999999,7.88,7.68
197,197,A,F,7,6,6,9,5.4,5.9,5,4.6000000000000005,4.84,5.680000000000001,5.478,5.2674,5.0636
198,198,A,M,9,6,9,9,7.800000000000001,6.5,6,5.6,5.84,7.5600000000000005,6.2379999999999995,6.4594000000000005,6.1916
199,199,A,F,0,7,7,8,6.200000000000001,4.1,9,5.6,7.639999999999999,6.24,7.257999999999999,6.969399999999999,6.6716
200,200,A,M,4,6,8,9,7.0,5.0,6,4.6,5.4399999999999995,6.200000000000001,5.808,5.7224,5.4136
201,201,A,F,4,9,8,8,7.0,5.8999999999999995,6,4.6,5.4399999999999995,6.200000000000001,6.097999999999999,5.8094,5.4716
202,202,A,M,2,8,6,9,5.4,5.0,9,6.0,7.8,6.28,7.66,7.182,6.928
203,203,A,M,8,5,6,9,5.4,5.9,5,4.8,4.92,5.880000000000001,5.434,5.3542000000000005,5.178800000000001
204,204,A,F,9,9,6,9,5.4,7.3999999999999995,9,7.3999999999999995,8.36,7.68,8.392,8.101600000000001,7.942399999999999
205,205,A,M,3,6,8,9,7.0,4.699999999999999,9,6.2,7.88,7.200000000000001,7.486,7.4458,7.161200000000001
206,206,A,F,9,6,8,8,7.0,6.5,6,5.6,5.84,7.200000000000001,6.138,6.321400000000001,6.0996
207,207,A,M,5,8,6,8,5.4,5.9,8,6.0,7.2,6.48,7.23,6.913,6.702
208,208,A,M,2,5,7,8,6.200000000000001,4.1,8,5.4,6.96,6.24,6.582,6.5266,6.2724
209,209,A,M,2,7,6,8,5.4,4.7,5,3.6,4.44,4.68,5.078,4.6474,4.3636
210,210,A,M,5,6,6,8,5.4,5.3,7,5.4,6.36,6.08,6.382,6.2186,6.0203999999999995
211,211,A,M,7,8,9,9,7.800000000000001,6.5,9,7.0,8.2,8.360000000000001,8.09,8.135000000000002,7.8500000000000005
212,212,A,F,8,9,7,8,6.200000000000001,7.1,8,6.6000000000000005,7.44,7.44,7.618,7.4374,7.2236
213,213,A,M,5,8,8,9,7.0,5.9,7,5.4,6.36,6.800000000000001,6.742,6.5426,6.2364
214,214,A,F,0,9,7,8,6.200000000000001,4.699999999999999,7,4.4,5.960000000000001,5.440000000000001,6.3420000000000005,5.8146,5.464400000000001
215,215,A,F,1,6,9,9,7.800000000000001,4.1,9,5.8,7.719999999999999,7.16,7.313999999999999,7.3022,6.950799999999999
